,franchise,name,city,address,phone
101,BurgerKing,379,Москва,"ул Декабристов 12, ТЦ FORT Отрадное 2 этаж",No data
102,BurgerKing,386,Москва,"ул Азовская 24 корп 3, ТЦ Азовский 3 этаж",No data
103,BurgerKing,389,Москва,ш Боровское 2,No data
104,BurgerKing,392,Москва,пл Преображенская 6,No data
105,BurgerKing,396,Москва,ш Варшавское 153,No data
106,BurgerKing,397,Москва,ул 1-я Останкинская 57,No data
107,BurgerKing,398,Москва,"ул Святоозерская 1А, ТЦ Косино Парк 2 этаж",No data
108,BurgerKing,405,Москва,"просп Андропова 22, ТЦ Нора 3 этаж",No data
109,BurgerKing,406,Москва,"ш Варшавское 87Б, ТЦ Варшавский 3 этаж",No data
110,BurgerKing,418,Москва,"ш Боровское 6, ТЦ Солнечный 2 этаж",No data
111,BurgerKing,419,Москва,ул Литовский бульвар 22,No data
112,BurgerKing,430,Москва,"просп Лермонтовский 19 корп 1, ТЦ Феникс",No data
113,BurgerKing,435,Москва,"мкр Северное Чертаново 1А, ТЦ Авентура 2 этаж",No data
114,BurgerKing,443,Москва,"просп Ленинградский 76А, ТЦ Метромаркет 3 этаж",No data
115,BurgerKing,454,Москва,"ул Пришвина 26, ТЦ Миллион Мелочей",No data
116,BurgerKing,459,Москва,ул Кадырова 1,No data
117,BurgerKing,460,Москва,"пр Огородный 10 стр 2,  ТЦ Зеленый",No data
118,BurgerKing,462,Москва,"ул Красного Маяка д 2Б , ТЦ Коламбус",No data
119,BurgerKing,465,Москва,"ул Кировоградская 14, ТЦ Глобал Сити 2 этаж",No data
120,BurgerKing,470,Москва,ш Каширское 23 км 6А,No data
121,BurgerKing,476,Москва,просп Мира 39 стр 2,No data
122,BurgerKing,482,Москва,Таганская 2,No data
123,BurgerKing,483,Москва,"ул Сущевский вал 5 стр 8, ТЦ Савеловский",No data
124,BurgerKing,490,Москва,"ул Вешняковская 18, ТЦ Вешняки 4 этаж",No data
125,BurgerKing,495,Москва,пер Панкратьевский 2,No data
126,BurgerKing,500,Москва,"просп Андропова 8, ТЦ Мегаполис 3 этаж",No data
127,BurgerKing,513,Москва,ул Бутырская 6,No data
128,BurgerKing,577,Москва,"ул Кировоградская 9 корп 4, ТЦ Южный",No data
129,BurgerKing,580,Москва,Открытое ш 5 стр 14,No data
130,BurgerKing,581,Москва,ТЦ Мега Белая Дача 2,No data
131,BurgerKing,586,Москва,ул Народного Ополчения 47 к 1,No data
132,BurgerKing,587,Москва,"ш Каширское 61Г, ТЦ Каширская Плаза 4 этаж",No data
133,BurgerKing,604,Москва,ул Лобачевского 19,No data
134,BurgerKing,617,Москва,"ш Дмитровское 73, ТЦ Метромолл 2 этаж",No data
135,BurgerKing,618,Москва,ул Покровская 20,No data
136,BurgerKing,627,Москва,ул Большая Серпуховская 6/5,No data
137,BurgerKing,631,Москва,ул Елецкая 15,No data
138,BurgerKing,677,Москва,"пл Тверская Застава 7с1, Белорусский вокзал",No data
139,BurgerKing,678,Москва,"пл Павелецкая 1А, Павелецкий вокзал",No data
140,BurgerKing,679,Москва,пл Комсомольская 2А,No data
